																																				Mean						Mean																									
	Constant-rate spraying																	Variable-rate spraying																			Constant-rate spraying		Variable-rate spraying				Constant-rate spraying			Variable-rate spraying				Constant-rate spraying										Variable-rate spraying							
		Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)						Spray Coverage (%)						Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)								Spray Deposit (stains cm^-2)	Spray Coverage (%)	Spray Deposit (stains cm^-2)	Spray Coverage (%)				Spray Deposit (μm cm^-2)			Spray Deposit (μm cm^-2)				Spray Deposit (stains cm^-2)					Spray Coverage (%)				Spray Deposit (stains cm^-2)				Spray Coverage (%)			
		P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean																		P1	P2	P3	P4	P1	P2	P3	P4		P1	P2	P3	P4	P1	P2	P3	P4
	Mean	0.489666667	0.5206	0.4967	0.390633333	0.4744	45.76666667	48.23333333	51.5	42.03333333	46.88333333	13.04733333	12.86866667	12.21	10.40733333	12.13333333			0.322866667	0.335766667	0.318733333	0.3321	0.327366667	40.73333333	37.36666667	36.63333333	36.63333333	37.84166667	8.274666667	8.216666667	8.319666667	8.100333333	8.227833333			Mean	46.88333333	12.13333333	37.84166667	8.227833333			Mean	0.4744			0.327366667			Mean	45.76666667	48.23333333	51.5	42.03333333	13.04733333	12.86866667	12.21	10.40733333		40.73333333	37.36666667	36.63333333	36.63333333	8.274666667	8.216666667	8.319666667	8.100333333
																																																																			
																																																																			
		Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)							Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)						B1		Spray Deposit (stains cm^-2)	Spray Coverage (%)	Spray Deposit (stains cm^-2)	Spray Coverage (%)				Spray Deposit (μm cm^-2)			Spray Deposit (μm cm^-2)				Spray Deposit (stains cm^-2)				Spray Coverage (%)					Spray Deposit (stains cm^-2)				Spray Coverage (%)			
		P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			Top	86.5	26.6725	60.75	12.5775		B1	Top	0.923	B1	Top	0.54125				P1	P2	P3	P4	P1	P2	P3	P4		P1	P2	P3	P4	P1	P2	P3	P4
B1	Top	0.924	1.106	0.816	0.846	0.923	108	75	84	79	86.5	25.46	32.63	28.93	19.67	26.6725		Top	0.534	0.506	0.589	0.536	0.54125	55	57	66	65	60.75	11.46	13.46	12.46	12.93	12.5775			Middle	53.5	14.005	34.75	8.695			Middle	0.51525		Middle	0.30575		B1	Top	108	75	84	79	25.46	32.63	28.93	19.67		55	57	66	65	11.46	13.46	12.46	12.93
	Middle	0.426	0.545	0.525	0.565	0.51525	45	51	57	61	53.5	13.67	14.41	14.07	13.87	14.005		Middle	0.324	0.339	0.315	0.245	0.30575	36	31	38	34	34.75	8.67	9.67	8.37	8.07	8.695			Left	55.25	12.9775	33.75	8.68			Left	0.5405		Left	0.2855			Middle	45	51	57	61	13.67	14.41	14.07	13.87		36	31	38	34	8.67	9.67	8.37	8.07
	Left	0.487	0.565	0.525	0.585	0.5405	49	57	61	54	55.25	11.93	13.62	13.53	12.83	12.9775		Left	0.311	0.301	0.295	0.235	0.2855	33	35	31	36	33.75	8.93	8.63	8.63	8.53	8.68			Right	51.5	12.135	35	8.73			Right	0.53825		Right	0.31325			Left	49	57	61	54	11.93	13.62	13.53	12.83		33	35	31	36	8.93	8.63	8.63	8.53
	Right	0.498	0.585	0.465	0.605	0.53825	42	48	59	57	51.5	11.25	13.19	12.65	11.45	12.135		Right	0.308	0.325	0.355	0.265	0.31325	32	39	31	38	35	8.78	8.25	9.25	8.64	8.73			Bottom	32	9.16	23	5.9225			Bottom	0.37575		Bottom	0.225			Right	42	48	59	57	11.25	13.19	12.65	11.45		32	39	31	38	8.78	8.25	9.25	8.64
	Bottom	0.315	0.335	0.445	0.408	0.37575	28	30	38	32	32	9.26	8.36	9.66	9.36	9.16		Bottom	0.206	0.228	0.245	0.221	0.225	22	24	25	21	23	6.06	6.21	5.56	5.86	5.9225		B2	Top	80	21.5975	61.25	11.28		B2	Top	0.9365	B2	Top	0.5614			Bottom	28	30	38	32	9.26	8.36	9.66	9.36		22	24	25	21	6.06	6.21	5.56	5.86
